code1_id,code2_id,label,jaccard_tokens,jaccard_bigrams,jaccard_trigrams,dice,levenshtein_dist,levenshtein_ratio,jaro,jaro_winkler,cosine_similarity,embedding_cosine,similarity_avg
005.java,006.java,1,1.0,0.9941291585127201,0.9907834101382489,1.0,3,0.9995281535073922,0.9987937493353766,0.999276249601226,0.9999182153760521,1.0,0.9980476596078908
015.java,023.java,1,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.999,0.9998888888888889
250.java,159.java,1,0.9701492537313433,0.9617834394904459,0.9647058823529412,0.9848484848484849,25,0.9793559042113955,0.8371321254622583,0.902279275277355,0.9994844474995705,0.9944,0.9549043125415326
024.java,016.java,1,0.9912280701754386,0.9563492063492064,0.9368421052631579,0.9955947136563876,45,0.9763655462184874,0.8980995036761725,0.9388597022057035,0.9976897331129726,0.994,0.965003175628614
043.java,251.java,1,0.9298245614035088,0.891566265060241,0.8723404255319149,0.9636363636363636,54,0.9230769230769231,0.8364988920544477,0.9018993352326686,0.9847507242669089,0.9932,0.9218659433625531
051.c,045.c,1,0.8125,0.625,0.5568181818181818,0.896551724137931,149,0.8005354752342704,0.8376769626450336,0.9026061775870201,0.9376346641605637,0.9889,0.8175803539536667
209.java,201.java,1,0.9375,0.8870967741935484,0.8571428571428571,0.967741935483871,31,0.9840698869475848,0.8466507261705685,0.9079904357023411,0.9920669636512816,0.9857,0.9295510643657836
073.c,074.c,1,0.8686868686868687,0.6728307254623044,0.5877862595419847,0.9297297297297298,1639,0.6950130256791962,0.8193160549062316,0.8915896329437389,0.9691532094572818,0.9831,0.8241339451563707
014.java,021.java,1,1.0,0.989010989010989,0.979381443298969,1.0,6,0.9959758551307847,0.9609481806664905,0.9765689083998943,0.9992984972315083,0.9799,0.9867870970820706
195.java,218.java,1,0.6513761467889908,0.4567901234567901,0.3770491803278688,0.7888888888888889,296,0.8146524733876017,0.8107344008750181,0.8864406405250109,0.9153683057993265,0.9785,0.7422000177832773
101.java,212.java,1,0.6825396825396826,0.583941605839416,0.48520710059171596,0.8113207547169812,245,0.7731481481481481,0.8018153066217342,0.8810891839730405,0.9571280836518107,0.9746,0.7723099851202809
035.c,036.c,1,0.8497109826589595,0.6814516129032258,0.6268174474959612,0.91875,837,0.7966966237551616,0.884815054508266,0.9308890327049596,0.9161452552412737,0.9719,0.8419084454742009
007.c,043.c,1,0.7045454545454546,0.44155844155844154,0.2871287128712871,0.8266666666666667,146,0.7213740458015268,0.7967670724159274,0.8780602434495565,0.8817848284858397,0.9702,0.7231206073105222
050.c,064.c,1,0.6610169491525424,0.3185840707964602,0.2152777777777778,0.7959183673469388,186,0.6793103448275862,0.828789232470963,0.8972735394825778,0.7982545855146681,0.9689,0.6848138741521681
258.java,257.java,1,0.8671875,0.6477611940298508,0.594059405940594,0.9288702928870293,988,0.690282131661442,0.7627335152266914,0.8576401091360148,0.9158983185988678,0.9662,0.8034036074978322
048.java,051.java,1,0.9171974522292994,0.8065395095367848,0.7435897435897436,0.9568106312292359,236,0.921957671957672,0.8372098623144123,0.9023259173886474,0.9850418513893471,0.9616,0.892474737737238
137.java,171.java,1,0.7777777777777778,0.4838709677419355,0.3672316384180791,0.875,219,0.7220812182741116,0.8432235710154862,0.9059341426092917,0.8659055635563987,0.9594,0.7556027643770089
064.java,062.java,1,0.8571428571428571,0.723404255319149,0.6480985538296733,0.9230769230769231,2650,0.5734063103670315,0.8628943407804551,0.9177366044682731,0.9770390583216414,0.9589,0.826855433700667
153.java,155.java,1,0.8235294117647058,0.6617647058823529,0.6145833333333334,0.9032258064516129,346,0.8221993833504625,0.8509975148800945,0.9105985089280567,0.9001529776507932,0.9589,0.8273279602490458
043.c,064.c,1,0.6538461538461539,0.4942528735632184,0.4339622641509434,0.7906976744186046,148,0.7426086956521739,0.7997866614791039,0.8798719968874623,0.9197949543967527,0.9584,0.7414690304882682
076.c,077.c,1,0.7586206896551724,0.5665914221218962,0.4677716390423573,0.8627450980392157,1357,0.5805255023183926,0.7184800163322319,0.8310880097993392,0.9419090222653035,0.9544,0.7424590443971009
107.java,113.java,1,0.92,0.8024691358024691,0.7333333333333333,0.9583333333333334,28,0.9577039274924471,0.9272414740171797,0.9563448844103078,0.9492385786802032,0.9491,0.9059738518965861
017.c,018.c,1,0.7416666666666667,0.616822429906542,0.5318066157760815,0.8516746411483254,1353,0.5295549374130737,0.7487725993527613,0.8492635596116568,0.8957648965707715,0.9485,0.7459807051606532
013.c,046.c,1,0.5818181818181818,0.32673267326732675,0.23622047244094488,0.735632183908046,245,0.5716783216783217,0.7898379075117336,0.8739027445070401,0.8887423775755435,0.9473,0.661318318078571
208.java,202.java,1,0.7183098591549296,0.588957055214724,0.4946236559139785,0.8360655737704918,135,0.8491620111731844,0.8194558810363142,0.8916735286217885,0.9197094829913082,0.9448,0.7847507830974133
006.c,005.c,1,0.64,0.48823529411764705,0.40932642487046633,0.7804878048780488,203,0.7148876404494382,0.8172102288311498,0.8903261372986899,0.8318152839823675,0.9447,0.7241098682697564
065.c,027.c,1,0.6949152542372882,0.46835443037974683,0.32972972972972975,0.82,221,0.6304347826086957,0.7592145953224246,0.8555287571934548,0.7845041450188266,0.9424,0.6983424104989074
087.java,243.java,1,0.6875,0.5127551020408163,0.4579646017699115,0.8148148148148148,723,0.6800884955752212,0.7912106925914758,0.8747264155548855,0.8844033780262182,0.9415,0.7383292778192604
026.c,064.c,1,0.6721311475409836,0.3944954128440367,0.2846715328467153,0.803921568627451,133,0.778702163061564,0.8218085799030601,0.893085147941836,0.8617243690724093,0.9407,0.716804435759784
086.java,242.java,1,0.7350993377483444,0.45535714285714285,0.3775700934579439,0.8473282442748091,1071,0.5546777546777546,0.7886026921830274,0.8731616153098164,0.8310791873778429,0.9406,0.7114973408762979
258.java,059.java,1,0.5630252100840336,0.4728682170542636,0.4533333333333333,0.7204301075268817,1168,0.49871244635193135,0.6808760837629979,0.6808760837629979,0.8749846949172115,0.9404,0.6539451307548502
032.c,043.c,1,0.6,0.36363636363636365,0.2631578947368421,0.75,91,0.7977777777777778,0.8213726587897895,0.8928235952738737,0.8534708370705733,0.9382,0.6978265696983579
050.c,007.c,1,0.6111111111111112,0.41304347826086957,0.2966101694915254,0.7586206896551724,226,0.6103448275862069,0.7938469696449486,0.8763081817869691,0.8721437962800642,0.9353,0.6852588026463187
086.java,087.java,1,0.8805970149253731,0.7207207207207207,0.6727748691099477,0.9365079365079365,459,0.7737801872843766,0.8250312792173786,0.8950187675304272,0.8802710661365338,0.9313,0.8351113157147438
032.c,007.c,1,0.6511627906976745,0.358974358974359,0.22772277227722773,0.7887323943661971,169,0.6774809160305344,0.7686058322843471,0.8611634993706082,0.8677039035434639,0.9312,0.6814162741716012
244.java,246.java,1,0.6236559139784946,0.4315352697095436,0.3778162911611785,0.7682119205298014,912,0.7098313713013045,0.8063246755599095,0.8837948053359457,0.8451098354082697,0.9296,0.7084311203316052
050.c,026.c,1,0.6,0.3130434782608696,0.21830985915492956,0.75,214,0.6439267886855241,0.8180171833638593,0.8908103100183156,0.8423913043478262,0.9269,0.6670443248701471
086.java,243.java,1,0.7124183006535948,0.5114503816793893,0.4396551724137931,0.8320610687022901,917,0.5942477876106195,0.7950992734300342,0.8770595640580205,0.8190391905141179,0.9262,0.7230256376735399
042.c,045.c,1,0.5512820512820513,0.14222222222222222,0.08778625954198473,0.7107438016528925,525,0.4348762109795479,0.7585597462089319,0.8551358477253591,0.5486484146243018,0.9241,0.5570393949152546
242.java,243.java,1,0.8181818181818182,0.6115107913669064,0.5738045738045738,0.9,443,0.8158004158004157,0.8105096837301969,0.8863058102381182,0.9149995498423087,0.9231,0.8060236269960375
258.java,051.java,1,0.5491329479768786,0.3456221198156682,0.3051181102362205,0.7089552238805971,1252,0.5694635488308115,0.7772560925941429,0.8663536555564857,0.8915704916085411,0.9216,0.6594524656110383
233.java,232.java,1,0.5700934579439252,0.38181818181818183,0.336283185840708,0.7261904761904762,1175,0.47262118491921,0.6786638833609137,0.6786638833609137,0.8760752164151904,0.9192,0.6266232744277243
193.java,191.java,1,0.4847161572052402,0.40387722132471726,0.34827144686299616,0.6529411764705882,3830,0.5222055888223553,0.7083508287202082,0.8250104972321249,0.661721791131426,0.9192,0.6140327453077395
258.java,185.java,1,0.49238578680203043,0.3112449799196787,0.27241379310344827,0.6598639455782312,1545,0.5450530035335689,0.7422705796340406,0.8453623477804244,0.8209409224855306,0.9168,0.6229261509818838
062.c,063.c,1,0.6785714285714286,0.5180180180180181,0.43018867924528303,0.8085106382978723,642,0.5751158173395103,0.751026072179577,0.8506156433077462,0.8181157926474357,0.9142,0.7049291210674302
009.c,045.c,1,0.5538461538461539,0.2275449101796407,0.15306122448979592,0.7128712871287128,381,0.4633802816901409,0.7684477801690868,0.8610686681014521,0.5504282724656595,0.9134,0.578227619785627
183.java,059.java,1,0.42138364779874216,0.3780487804878049,0.3879781420765027,0.5929203539823009,1487,0.4449421425905189,0.6478565337718313,0.6478565337718313,0.8610976054804769,0.9122,0.5882537488844455
183.java,185.java,1,0.786096256684492,0.6666666666666666,0.6430020283975659,0.8802395209580839,837,0.7535335689045937,0.7894176257376829,0.8736505754426097,0.9254753875186231,0.9117,0.8033090700344796
106.java,111.java,1,0.5882352941176471,0.4827586206896552,0.40829694323144106,0.7407407407407407,2192,0.5213973799126638,0.7225921911995506,0.8335553147197304,0.7718746259560427,0.9103,0.6644167900630525
257.java,051.java,1,0.5459770114942529,0.31092436974789917,0.27385159010600707,0.7063197026022305,1436,0.5498432601880878,0.7984392272577416,0.879063536354645,0.8621485334084161,0.9087,0.6483630256843644
183.java,258.java,1,0.4946236559139785,0.3425287356321839,0.3107569721115538,0.6618705035971223,1014,0.6215005599104143,0.7980785949955905,0.8788471569973543,0.8700952678526218,0.908,0.6540334941123134
071.c,059.c,1,0.7313432835820896,0.37719298245614036,0.2613240418118467,0.8448275862068966,702,0.46898638426626327,0.768764728492128,0.8612588370952767,0.8256838596779285,0.9073,0.6718535226209522
180.java,175.java,1,0.7052631578947368,0.5909090909090909,0.5758754863813229,0.8271604938271605,296,0.8231780167264038,0.836175652222134,0.9017053913332804,0.8786094027191587,0.9072,0.7828974102236985
058.c,070.c,1,0.6851851851851852,0.42718446601941745,0.2978723404255319,0.8131868131868132,368,0.4772727272727273,0.7770348246683199,0.866220894800992,0.776263151782029,0.9042,0.6693800448156684
