code1_id,code2_id,label,jaccard_tokens,jaccard_bigrams,jaccard_trigrams,dice,levenshtein_dist,levenshtein_ratio,jaro,jaro_winkler,cosine_similarity,embedding_cosine
035.c,036.c,1,0.8497109826589595,0.6814516129032258,0.6268174474959612,0.91875,0,1.0,1.0,1.0,0.9161452552412737,1.0
005.java,006.java,1,1.0,0.9941291585127201,0.9907834101382489,1.0,0,1.0,1.0,1.0,0.9999182153760521,0.9999
015.java,023.java,1,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0.999
043.java,251.java,1,0.9298245614035088,0.891566265060241,0.8723404255319149,0.9636363636363636,95,0.8562783661119516,0.8458488106371552,0.9075092863822931,0.9847507242669089,0.9932
024.java,016.java,1,0.9912280701754386,0.9563492063492064,0.9368421052631579,0.9955947136563876,0,1.0,1.0,1.0,0.9976897331129726,0.9927
051.c,045.c,1,0.8125,0.625,0.5568181818181818,0.896551724137931,103,0.7923387096774194,0.8432795417123536,0.9059677250274122,0.9376346641605637,0.9889
250.java,159.java,1,0.9701492537313433,0.9617834394904459,0.9647058823529412,0.9848484848484849,32,0.9164490861618799,0.8283336504380956,0.8970001902628574,0.9994844474995705,0.9881
014.java,021.java,1,1.0,0.989010989010989,0.979381443298969,1.0,0,1.0,1.0,1.0,0.9992984972315083,0.9754
101.java,212.java,1,0.6825396825396826,0.583941605839416,0.48520710059171596,0.8113207547169812,208,0.6862745098039216,0.8252483343255754,0.8951490005953453,0.9571280836518107,0.9746
064.java,062.java,1,0.8571428571428571,0.723404255319149,0.6480985538296733,0.9230769230769231,9,0.9732142857142857,0.9567821067821067,0.9740692640692641,0.9770390583216414,0.9705
007.c,043.c,1,0.7045454545454546,0.44155844155844154,0.2871287128712871,0.8266666666666667,146,0.7213740458015268,0.7967670724159274,0.8780602434495565,0.8817848284858397,0.9702
050.c,064.c,1,0.6610169491525424,0.3185840707964602,0.2152777777777778,0.7959183673469388,155,0.7036328871892925,0.8360342272442933,0.901620536346576,0.7982545855146681,0.9689
195.java,218.java,1,0.6513761467889908,0.4567901234567901,0.3770491803278688,0.7888888888888889,87,0.855,0.8661105867499996,0.9196663520499998,0.9153683057993265,0.9681
209.java,201.java,1,0.9375,0.8870967741935484,0.8571428571428571,0.967741935483871,23,0.9641185647425897,0.9379545181807272,0.9627727109084363,0.9920669636512816,0.9656
073.c,074.c,1,0.8686868686868687,0.6728307254623044,0.5877862595419847,0.9297297297297298,194,0.6987577639751552,0.8660549901875493,0.9196329941125295,0.9691532094572818,0.9623
137.java,171.java,1,0.7777777777777778,0.4838709677419355,0.3672316384180791,0.875,189,0.7101226993865031,0.8366105399523637,0.9019663239714182,0.8659055635563987,0.9594
043.c,064.c,1,0.6538461538461539,0.4942528735632184,0.4339622641509434,0.7906976744186046,104,0.796875,0.8274108483483484,0.896446509009009,0.9197949543967527,0.9584
107.java,113.java,1,0.92,0.8024691358024691,0.7333333333333333,0.9583333333333334,28,0.9577039274924471,0.9272414740171797,0.9563448844103078,0.9492385786802032,0.9491
160.java,043.java,0,0.4647887323943662,0.19047619047619047,0.12244897959183673,0.6346153846153846,389,0.4114977307110439,0.744090452143941,0.8464542712863646,0.6807739667842196,0.9477
013.c,046.c,1,0.5818181818181818,0.32673267326732675,0.23622047244094488,0.735632183908046,210,0.559748427672956,0.7979266596448277,0.8787559957868966,0.8887423775755435,0.9473
235.java,237.java,1,0.6625,0.5,0.4520255863539446,0.7969924812030075,166,0.7914572864321608,0.8501870830251866,0.910112249815112,0.551039478585594,0.9455
208.java,202.java,1,0.7183098591549296,0.588957055214724,0.4946236559139785,0.8360655737704918,79,0.8672268907563025,0.8275303360998777,0.8965182016599266,0.9197094829913082,0.9448
006.c,005.c,1,0.64,0.48823529411764705,0.40932642487046633,0.7804878048780488,228,0.5230125523012552,0.8153583666515267,0.889215019990916,0.8318152839823675,0.9447
160.java,251.java,0,0.4925373134328358,0.211864406779661,0.145985401459854,0.66,330,0.4907407407407407,0.7598853791968563,0.8559312275181138,0.7113546866605193,0.944
065.c,027.c,1,0.6949152542372882,0.46835443037974683,0.32972972972972975,0.82,154,0.6081424936386768,0.789578413205974,0.8737470479235844,0.7845041450188266,0.9424
050.c,043.c,0,0.6,0.32989690721649484,0.24166666666666667,0.75,161,0.6921606118546846,0.8136488063536964,0.8881892838122178,0.8353477693833289,0.9415
007.c,064.c,0,0.5740740740740741,0.32323232323232326,0.2,0.7294117647058823,197,0.6240458015267176,0.8034688697707543,0.8820813218624526,0.8204808202979698,0.9414
026.c,064.c,1,0.6721311475409836,0.3944954128440367,0.2846715328467153,0.803921568627451,82,0.8478664192949907,0.8238779749436431,0.8943267849661859,0.8617243690724093,0.9407
031.c,045.c,0,0.41935483870967744,0.1038961038961039,0.057692307692307696,0.5909090909090909,296,0.3921971252566735,0.8038284339672699,0.8822970603803619,0.5937223206311415,0.9388
076.c,077.c,1,0.7586206896551724,0.5665914221218962,0.4677716390423573,0.8627450980392157,233,0.5982758620689654,0.8313571804526877,0.8988143082716126,0.9419090222653035,0.9384
032.c,043.c,1,0.6,0.36363636363636365,0.2631578947368421,0.75,91,0.7977777777777778,0.8213726587897895,0.8928235952738737,0.8534708370705733,0.9382
031.c,006.c,0,0.3917525773195876,0.09482758620689655,0.050387596899224806,0.562962962962963,306,0.37166324435318276,0.7836328022789999,0.8701796813674,0.6337478707154475,0.9367
031.c,051.c,0,0.4606741573033708,0.13901345291479822,0.07421875,0.6307692307692307,308,0.3790322580645161,0.8085683084197118,0.8851409850518271,0.6162312653002644,0.9354
050.c,007.c,1,0.6111111111111112,0.41304347826086957,0.2966101694915254,0.7586206896551724,220,0.5801526717557253,0.8040969245631135,0.8824581547378682,0.8721437962800642,0.9353
006.c,051.c,0,0.5866666666666667,0.17142857142857143,0.08433734939759036,0.7394957983193278,279,0.4375,0.790266834326424,0.8741601005958544,0.6122673045366587,0.9352
052.c,046.c,0,0.5689655172413793,0.25203252032520324,0.1509433962264151,0.7252747252747253,271,0.46015936254980083,0.7975931229935247,0.8785558737961148,0.8160501792099283,0.9349
006.c,045.c,0,0.5125,0.12272727272727273,0.06719367588932806,0.6776859504132231,272,0.43685300207039335,0.7907804143010391,0.8744682485806234,0.5769438022402149,0.9343
017.c,018.c,1,0.7416666666666667,0.616822429906542,0.5318066157760815,0.8516746411483254,0,1.0,1.0,1.0,0.8957648965707715,0.9334
025.c,006.c,0,0.48148148148148145,0.12935323383084577,0.08968609865470852,0.65,301,0.37681159420289856,0.7919083787323239,0.8751450272393944,0.5367066741284796,0.9331
072.c,060.c,0,0.6162790697674418,0.3231441048034934,0.213768115942029,0.762589928057554,210,0.6030245746691871,0.8232044445445794,0.8939226667267477,0.7671944273702178,0.9316
040.c,064.c,0,0.6129032258064516,0.27692307692307694,0.16091954022988506,0.76,253,0.5279850746268657,0.7844787148658418,0.870687228919505,0.7817212505377366,0.9313
032.c,007.c,1,0.6511627906976745,0.358974358974359,0.22772277227722773,0.7887323943661971,169,0.6774809160305344,0.7686058322843471,0.8611634993706082,0.8677039035434639,0.9312
252.java,230.java,0,0.40186915887850466,0.10330578512396695,0.055762081784386616,0.5733333333333334,455,0.3609550561797753,0.7531351633124962,0.8518810979874977,0.6247440836483401,0.9308
011.java,050.java,0,0.3375796178343949,0.14470284237726097,0.10920770877944326,0.5047619047619047,267,0.4282655246252677,0.7655670753499746,0.8593402452099848,0.4118932369782621,0.9306
031.c,012.c,0,0.46153846153846156,0.18811881188118812,0.09829059829059829,0.631578947368421,333,0.3645038167938931,0.7720629665230154,0.8632377799138092,0.6898407775060885,0.9304
050.c,040.c,0,0.6190476190476191,0.33064516129032256,0.19161676646706588,0.7647058823529411,263,0.5093283582089552,0.7947125827205591,0.8768275496323354,0.7967937704655216,0.9299
031.c,042.c,0,0.45161290322580644,0.13793103448275862,0.07924528301886792,0.6222222222222222,320,0.4223826714801444,0.7764638172478352,0.8658782903487011,0.6229692069207626,0.9283
019.c,067.c,0,0.5344827586206896,0.23008849557522124,0.11594202898550725,0.6966292134831461,223,0.5448979591836735,0.7795669499694756,0.8677401699816853,0.735381192640542,0.9282
050.c,026.c,1,0.6,0.3130434782608696,0.21830985915492956,0.75,183,0.660482374768089,0.8213046749119783,0.892782804947187,0.8423913043478262,0.9269
013.c,052.c,0,0.47540983606557374,0.27586206896551724,0.16556291390728478,0.6444444444444445,250,0.50199203187251,0.800463567099546,0.8802781402597276,0.8078796696700788,0.9265
042.c,051.c,0,0.6081081081081081,0.1583710407239819,0.10038610038610038,0.7563025210084033,327,0.4097472924187726,0.7789192591548355,0.8673515554929013,0.577923333221197,0.9261
221.java,257.java,0,0.39655172413793105,0.14489795918367346,0.08045977011494253,0.5679012345679012,215,0.5102505694760819,0.7772174878432776,0.8663304927059665,0.5422820358248328,0.9255
044.c,049.c,0,0.5428571428571428,0.3392857142857143,0.25,0.7037037037037037,286,0.39278131634819535,0.7971255211829646,0.8782753127097788,0.7299361205131994,0.9246
042.c,045.c,1,0.5512820512820513,0.14222222222222222,0.08778625954198473,0.7107438016528925,309,0.4422382671480144,0.7760164044267718,0.8656098426560631,0.5486484146243018,0.9241
030.c,041.c,0,0.6262626262626263,0.29454545454545455,0.13274336283185842,0.7701863354037267,188,0.4486803519061584,0.8133770032760174,0.8880262019656104,0.8129308275734818,0.924
124.java,102.java,0,0.3645833333333333,0.1552511415525114,0.1062992125984252,0.5343511450381679,514,0.272984441301273,0.7790505466954935,0.867430328017296,0.6539649377343347,0.9239
006.c,042.c,0,0.4588235294117647,0.12280701754385964,0.06844106463878327,0.6290322580645161,329,0.40613718411552346,0.7694976593884677,0.8616985956330806,0.5770720562067715,0.9234
